fund_varied,multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
navigation_fund_general,1.5,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
navigation_fund_general,1.5,longview_nuclear,4.7980,0.0000,3.6000,3.6000,15.0000,2.0000,0.1000,0.0000
navigation_fund_general,1.5,navigation_fund_cagefree,15.5775,-0.0650,15.3500,15.3500,16.0000,16.0000,16.0000,16.0000
navigation_fund_general,1.5,navigation_fund_general,20.2080,2.1500,10.6000,10.6000,33.0000,42.0000,41.6000,42.0000
navigation_fund_general,1.5,sentinel_bio,7.3180,0.0000,6.4000,6.4000,19.0000,3.0000,0.1000,0.0000
navigation_fund_general,2,ea_awf,10.1750,-2.6000,6.5000,6.5000,17.0000,17.0000,17.0000,17.0000
navigation_fund_general,2,givewell,13.0880,-0.1650,15.2000,15.2000,0.0000,13.0000,19.1000,19.0000
navigation_fund_general,2,leaf,4.1230,-0.8150,5.1000,5.1000,0.0000,2.0000,6.1000,6.0000
navigation_fund_general,2,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
navigation_fund_general,2,longview_nuclear,4.7980,0.0000,3.6000,3.6000,15.0000,2.0000,0.1000,0.0000
navigation_fund_general,2,navigation_fund_cagefree,15.5450,-0.0975,15.3000,15.3000,16.0000,16.0000,16.0000,16.0000
navigation_fund_general,2,navigation_fund_general,21.7355,3.6775,12.9500,12.9500,33.0000,42.0000,41.6000,42.0000
navigation_fund_general,2,sentinel_bio,7.3180,0.0000,6.4000,6.4000,19.0000,3.0000,0.1000,0.0000
sentinel_bio,0.1,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
sentinel_bio,0.1,givewell,13.4330,0.1800,15.3000,15.3000,0.0000,15.0000,20.1000,19.0000
sentinel_bio,0.1,leaf,4.9480,0.0100,6.2000,6.2000,1.0000,2.0000,5.6000,6.0000
sentinel_bio,0.1,longview_ai,23.3175,0.1000,34.9500,34.9500,0.0000,6.0000,0.0000,0.0000
sentinel_bio,0.1,longview_nuclear,8.9580,4.1600,10.0000,10.0000,15.0000,2.0000,0.1000,0.0000
sentinel_bio,0.1,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
sentinel_bio,0.1,navigation_fund_general,18.0680,0.0100,7.6000,7.6000,32.0000,42.0000,41.1000,42.0000
sentinel_bio,0.1,sentinel_bio,2.8580,-4.4600,0.0000,0.0000,19.0000,0.0000,0.1000,0.0000
sentinel_bio,0.8,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
sentinel_bio,0.8,givewell,13.3530,0.1000,15.3000,15.3000,0.0000,14.0000,20.1000,20.0000
sentinel_bio,0.8,leaf,4.9380,0.0000,6.2000,6.2000,1.0000,2.0000,5.6000,5.5000
sentinel_bio,0.8,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
sentinel_bio,0.8,longview_nuclear,5.3830,0.5850,4.5000,4.5000,15.0000,2.0000,0.1000,0.0000
sentinel_bio,0.8,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
sentinel_bio,0.8,navigation_fund_general,18.0580,0.0000,7.6000,7.6000,32.0000,42.0000,41.1000,41.5000
sentinel_bio,0.8,sentinel_bio,6.6330,-0.6850,5.5000,5.5000,19.0000,2.0000,0.1000,0.0000
sentinel_bio,2,ea_awf,12.7661,-0.0089,10.5000,10.5000,17.0000,17.0000,16.8889,17.0000
sentinel_bio,2,givewell,12.3294,-0.9236,15.3000,15.3000,0.0000,6.0000,17.5556,19.0000
sentinel_bio,2,leaf,4.9844,0.0464,6.2000,6.2000,1.0000,2.0000,6.0556,6.0000
sentinel_bio,2,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
sentinel_bio,2,longview_nuclear,3.0394,-1.7586,0.9000,0.9000,15.0000,2.0000,0.0556,0.0000
sentinel_bio,2,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
sentinel_bio,2,navigation_fund_general,18.1044,0.0464,7.6000,7.6000,32.0000,42.0000,41.5556,42.0000
sentinel_bio,2,sentinel_bio,9.9161,2.5981,9.1000,9.1000,19.0000,10.0000,1.8889,0.0000
sentinel_bio,4,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
sentinel_bio,4,givewell,11.1005,-2.1525,14.8500,14.8500,0.0000,0.0000,13.1000,20.0000
sentinel_bio,4,leaf,4.7788,-0.1592,6.1500,6.1500,1.0000,1.0000,5.2667,5.5000
sentinel_bio,4,longview_ai,22.8900,-0.3275,34.6000,34.6000,0.0000,4.0000,0.0000,0.0000
sentinel_bio,4,longview_nuclear,2.3580,-2.4400,0.0000,0.0000,15.0000,1.0000,0.1000,0.0000
sentinel_bio,4,navigation_fund_cagefree,15.6425,-0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
sentinel_bio,4,navigation_fund_general,18.0388,-0.0192,7.5500,7.5500,32.0000,42.0000,41.2667,41.5000
sentinel_bio,4,sentinel_bio,12.4163,5.0983,10.9000,10.9000,19.0000,19.0000,7.2667,0.0000
